Q,A
tmp: wide string mismatch,tmp: 와이드 문자열 불일치
a: wide string mismatch,a: 와이드 문자열 불일치
i: wide string mismatch,i: 와이드 문자열 불일치
expected '(' to follow 'identifier',identifier' 뒤에 '('이 와야 합니다.
expected '(' to follow tmp,identifier' 뒤에 '('이 와야 합니다.
expected '(' to follow a,identifier' 뒤에 '('이 와야 합니다.
expected '(' to follow i,identifier' 뒤에 '('이 와야 합니다.
"expected formal parameter list, not a type list",형식 목록이 아닌 형식 매개 변수 목록이 필요합니다.
illegal expression,잘못된 식
expected constant expression,상수 식이 필요합니다.
constant expression is not integral,정수 상수 표현이 아닙니다.
syntax error: 'token',구문 오류: 'token'
syntax error: end of file found,구문 오류: 파일의 끝을 찾았습니다.
syntax error: identifier 'identifier',구문 오류: 식별자 'identifier'
syntax error: identifier tmp,구문 오류: 식별자 tmp
syntax error: identifier a,구문 오류: 식별자 a
syntax error: identifier i,구문 오류: 식별자 i
type 'type' unexpected,'type' 형식이 예기치 않음
'identifier': not a function,'identifier': 함수가 아닙니다.
'identifier': not a func,'identifier': 함수가 아닙니다.
'identifier': not a fun,'identifier': 함수가 아닙니다.
'identifier': not a def,'identifier': 함수가 아닙니다.
'identifier': not a fn,'identifier': 함수가 아닙니다.
tmp: not a function,tmp: 함수가 아닙니다.
a: not a function,a: 함수가 아닙니다.
i: not a function,i: 함수가 아닙니다.
term does not evaluate to a function taking number arguments,용어는 숫자 인수를 사용하는 함수로 평가되지 않습니다.
term does not evaluate to a func taking number arguments,용어는 숫자 인수를 사용하는 함수로 평가되지 않습니다.
term does not evaluate to a fun taking number arguments,용어는 숫자 인수를 사용하는 함수로 평가되지 않습니다.
term does not evaluate to a def taking number arguments,용어는 숫자 인수를 사용하는 함수로 평가되지 않습니다.
term does not evaluate to a fn taking number arguments,용어는 숫자 인수를 사용하는 함수로 평가되지 않습니다.
'identifier': undeclared identifier,'identifier': 선언되지 않은 식별자
tmp: undeclared identifier,tmp: 선언되지 않은 식별자
a: undeclared identifier,a: 선언되지 않은 식별자
i: undeclared identifier,i: 선언되지 않은 식별자
cast to function type is illegal,함수 형식으로 캐스팅이 잘못되었습니다.
cast to func type is illegal,함수 형식으로 캐스팅이 잘못되었습니다.
cast to fun type is illegal,함수 형식으로 캐스팅이 잘못되었습니다.
cast to def type is illegal,함수 형식으로 캐스팅이 잘못되었습니다.
cast to fn type is illegal,함수 형식으로 캐스팅이 잘못되었습니다.
cast to array type is illegal,배열 형식으로 잘못 캐스팅했습니다.
illegal use of overloaded function. Missing argument list?,오버로드된 함수를 잘못 사용했습니다. 인수 목록이 없나요?
illegal use of overloaded func. Missing argument list?,오버로드된 함수를 잘못 사용했습니다. 인수 목록이 없나요?
illegal use of overloaded fun. Missing argument list?,오버로드된 함수를 잘못 사용했습니다. 인수 목록이 없나요?
illegal use of overloaded def. Missing argument list?,오버로드된 함수를 잘못 사용했습니다. 인수 목록이 없나요?
illegal use of overloaded fn. Missing argument list?,오버로드된 함수를 잘못 사용했습니다. 인수 목록이 없나요?
cast of 'void' term to non-'void',void' 항에서 'non-void'로 캐스팅했습니다.
'type': illegal sizeof operand,'type': 잘못된 sizeof 피연산자
'identifier': illegal storage class,'identifier': 잘못된 스토리지 클래스
tmp: illegal storage class,tmp: 잘못된 스토리지 클래스
a: illegal storage class,a: 잘못된 스토리지 클래스
i: illegal storage class,i: 잘못된 스토리지 클래스
'identifier': initialization of a function,'identifier': 함수 초기화
'identifier': initialization of a func,'identifier': 함수 초기화
'identifier': initialization of a fun,'identifier': 함수 초기화
'identifier': initialization of a def,'identifier': 함수 초기화
'identifier': initialization of a fn,'identifier': 함수 초기화
tmp: initialization of a function,tmp: 함수 초기화
a: initialization of a function,a: 함수 초기화
i: initialization of a function,i: 함수 초기화
'identifier': elements of partially initialized array must have a default constructor,'identifier': 부분적으로 초기화된 배열의 요소에는 기본 생성자가 있어야 합니다.
tmp: elements of partially initialized array must have a default constructor,tmp: 부분적으로 초기화된 배열의 요소에는 기본 생성자가 있어야 합니다.
a: elements of partially initialized array must have a default constructor,a: 부분적으로 초기화된 배열의 요소에는 기본 생성자가 있어야 합니다.
i: elements of partially initialized array must have a default constructor,i: 부분적으로 초기화된 배열의 요소에는 기본 생성자가 있어야 합니다.
'identifier': 'type' initialization requires a brace-enclosed initializer list,'identifier': 'type' 초기화에는 중괄호로 묶인 이니셜라이저 목록이 필요합니다.
tmp: 'type' initialization requires a brace-enclosed initializer list,tmp: 'type' 초기화에는 중괄호로 묶인 이니셜라이저 목록이 필요합니다.
a: 'type' initialization requires a brace-enclosed initializer list,a: 'type' 초기화에는 중괄호로 묶인 이니셜라이저 목록이 필요합니다.
i: 'type' initialization requires a brace-enclosed initializer list,i: 'type' 초기화에는 중괄호로 묶인 이니셜라이저 목록이 필요합니다.
'identifier': array initialization requires a brace-enclosed initializer list,'identifier': 배열 초기화에는 중괄호로 묶인 이니셜라이저 목록이 필요합니다.
tmp: array initialization requires a brace-enclosed initializer list,tmp: 배열 초기화에는 중괄호로 묶인 이니셜라이저 목록이 필요합니다.
a: array initialization requires a brace-enclosed initializer list,a: 배열 초기화에는 중괄호로 묶인 이니셜라이저 목록이 필요합니다.
i: array initialization requires a brace-enclosed initializer list,i: 배열 초기화에는 중괄호로 묶인 이니셜라이저 목록이 필요합니다.
a brace-enclosed initializer list cannot be used in a new-expression whose type contains 'type',중괄호로 묶인 이니셜라이저 목록은 형식에 'type'이 포함된 new-expression에서 사용할 수 없습니다.
non-scalar field initializer 'identifier',스칼라가 아닌 필드 이니셜라이저 'identifier'
non-scalar field initializer tmp,스칼라가 아닌 필드 이니셜라이저 tmp
non-scalar field initializer a,스칼라가 아닌 필드 이니셜라이저 a
non-scalar field initializer i,스칼라가 아닌 필드 이니셜라이저 i
too many initializers,이니셜라이저가 너무 많습니다.
'identifier' uses undefined struct/class/union 'type',identifier'는 정의되지 않은 구조체/클래스/공용체 'type'을 사용합니다.
tmp uses undefined struct/class/union 'type',identifier'는 정의되지 않은 구조체/클래스/공용체 'type'을 사용합니다.
a uses undefined struct/class/union 'type',identifier'는 정의되지 않은 구조체/클래스/공용체 'type'을 사용합니다.
i uses undefined struct/class/union 'type',identifier'는 정의되지 않은 구조체/클래스/공용체 'type'을 사용합니다.
'identifier': the type for 'type' can only be deduced from a single initializer expression,'identifier': 'type'의 형식은 단일 이니셜라이저 식에서만 추론할 수 있습니다.
tmp: the type for 'type' can only be deduced from a single initializer expression,tmp: 'type'의 형식은 단일 이니셜라이저 식에서만 추론할 수 있습니다.
a: the type for 'type' can only be deduced from a single initializer expression,a: 'type'의 형식은 단일 이니셜라이저 식에서만 추론할 수 있습니다.
i: the type for 'type' can only be deduced from a single initializer expression,i: 'type'의 형식은 단일 이니셜라이저 식에서만 추론할 수 있습니다.
'identifier': name in formal parameter list illegal,'identifier': 정식 매개 변수 목록의 이름이 잘못되었습니다.
tmp: name in formal parameter list illegal,tmp: 정식 매개 변수 목록의 이름이 잘못되었습니다.
a: name in formal parameter list illegal,a: 정식 매개 변수 목록의 이름이 잘못되었습니다.
i: name in formal parameter list illegal,i: 정식 매개 변수 목록의 이름이 잘못되었습니다.
redefinition of formal parameter 'identifier',공식 매개 변수 'identifier'의 재정의
redefinition of formal parameter tmp,공식 매개 변수 tmp의 재정의
redefinition of formal parameter a,공식 매개 변수 a의 재정의
redefinition of formal parameter i,공식 매개 변수 i의 재정의
struct/union comparison illegal,구조체/공용체 비교가 잘못되었습니다.
function 'identifier' already has a body,함수 'identifier'에 이미 본문이 있습니다.
func 'identifier' already has a body,함수 'identifier'에 이미 본문이 있습니다.
fun 'identifier' already has a body,함수 'identifier'에 이미 본문이 있습니다.
def 'identifier' already has a body,함수 'identifier'에 이미 본문이 있습니다.
